Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v0/customer,23,0,87,107.77832069257072,10.05329200415872,517.9356249864213,7120.434782608696,0.38664362107129635,0.0,87,120,130,140,240,250,520,520,520,520,520
POST,/api/v0/subscribe,58,0,27,68.73189427554688,10.778666997794062,546.4738330047112,22.0,0.9750143487884865,0.0,27,59,85,99,170,280,310,550,550,550,550
GET,/api/v0/teas,530,0,25,65.69632862690169,6.560332985827699,540.5884999781847,2415.0,8.909613876860307,0.0,25,56,91,110,180,240,330,400,540,540,540
GET,/api/v0/teas/1007,1,0,19.11904098233208,19.11904098233208,19.11904098233208,19.11904098233208,128.0,0.016810592220491145,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/v0/teas/102,1,0,116.58349999925122,116.58349999925122,116.58349999925122,116.58349999925122,127.0,0.016810592220491145,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/v0/teas/1035,1,0,11.49533299030736,11.49533299030736,11.49533299030736,11.49533299030736,127.0,0.016810592220491145,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/v0/teas/1042,1,0,27.080083003966138,27.080083003966138,27.080083003966138,27.080083003966138,130.0,0.016810592220491145,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/v0/teas/1044,1,0,60.78295799670741,60.78295799670741,60.78295799670741,60.78295799670741,129.0,0.016810592220491145,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/v0/teas/1053,1,0,15.454707987373695,15.454707987373695,15.454707987373695,15.454707987373695,129.0,0.016810592220491145,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v0/teas/1158,1,0,88.11224999953993,88.11224999953993,88.11224999953993,88.11224999953993,126.0,0.016810592220491145,0.0,88,88,88,88,88,88,88,88,88,88,88
GET,/api/v0/teas/123,1,0,23.45454102032818,23.45454102032818,23.45454102032818,23.45454102032818,126.0,0.016810592220491145,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/api/v0/teas/1302,1,0,14.275041001383215,14.275041001383215,14.275041001383215,14.275041001383215,130.0,0.016810592220491145,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/v0/teas/1401,1,0,90.70433399756439,90.70433399756439,90.70433399756439,90.70433399756439,137.0,0.016810592220491145,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/api/v0/teas/1411,1,0,98.2224170002155,98.2224170002155,98.2224170002155,98.2224170002155,131.0,0.016810592220491145,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/api/v0/teas/1436,1,0,9.215291996952146,9.215291996952146,9.215291996952146,9.215291996952146,127.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/1538,1,0,179.9869160167873,179.9869160167873,179.9869160167873,179.9869160167873,133.0,0.016810592220491145,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v0/teas/1546,1,0,159.8292919807136,159.8292919807136,159.8292919807136,159.8292919807136,130.0,0.016810592220491145,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/v0/teas/1598,1,0,37.86458299146034,37.86458299146034,37.86458299146034,37.86458299146034,128.0,0.016810592220491145,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/api/v0/teas/1612,1,0,8.242707990575582,8.242707990575582,8.242707990575582,8.242707990575582,128.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/1614,1,0,11.093999986769632,11.093999986769632,11.093999986769632,11.093999986769632,138.0,0.016810592220491145,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/v0/teas/1651,1,0,214.63979201507755,214.63979201507755,214.63979201507755,214.63979201507755,136.0,0.016810592220491145,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/v0/teas/1672,1,0,14.666250004665926,14.666250004665926,14.666250004665926,14.666250004665926,132.0,0.016810592220491145,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v0/teas/175,1,0,13.525040994863957,13.525040994863957,13.525040994863957,13.525040994863957,134.0,0.016810592220491145,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/v0/teas/1769,1,0,15.745874989079311,15.745874989079311,15.745874989079311,15.745874989079311,129.0,0.016810592220491145,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/v0/teas/1773,1,0,235.21308301133104,235.21308301133104,235.21308301133104,235.21308301133104,137.0,0.016810592220491145,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/v0/teas/1831,1,0,8.989458001451567,8.989458001451567,8.989458001451567,8.989458001451567,129.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/1837,1,0,107.52470800071023,107.52470800071023,107.52470800071023,107.52470800071023,130.0,0.016810592220491145,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/v0/teas/1852,1,0,478.0166669806931,478.0166669806931,478.0166669806931,478.0166669806931,137.0,0.016810592220491145,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/v0/teas/1867,1,0,10.015790991019458,10.015790991019458,10.015790991019458,10.015790991019458,129.0,0.016810592220491145,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v0/teas/188,1,0,10.557000001426786,10.557000001426786,10.557000001426786,10.557000001426786,131.0,0.016810592220491145,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/v0/teas/1880,1,0,73.89829200110398,73.89829200110398,73.89829200110398,73.89829200110398,131.0,0.016810592220491145,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/api/v0/teas/1920,1,0,183.1754160230048,183.1754160230048,183.1754160230048,183.1754160230048,127.0,0.016810592220491145,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v0/teas/195,1,0,14.92308298475109,14.92308298475109,14.92308298475109,14.92308298475109,127.0,0.016810592220491145,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v0/teas/1969,1,0,9.362167009385303,9.362167009385303,9.362167009385303,9.362167009385303,136.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/1990,1,0,217.11854200111702,217.11854200111702,217.11854200111702,217.11854200111702,128.0,0.016810592220491145,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/v0/teas/205,1,0,8.251207997091115,8.251207997091115,8.251207997091115,8.251207997091115,125.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/2085,1,0,9.803916997043416,9.803916997043416,9.803916997043416,9.803916997043416,137.0,0.016810592220491145,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v0/teas/2090,1,0,11.591165995923802,11.591165995923802,11.591165995923802,11.591165995923802,130.0,0.016810592220491145,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v0/teas/2118,1,0,14.20399997732602,14.20399997732602,14.20399997732602,14.20399997732602,132.0,0.016810592220491145,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/v0/teas/2119,1,0,319.18616700568236,319.18616700568236,319.18616700568236,319.18616700568236,132.0,0.016810592220491145,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/api/v0/teas/2157,1,0,16.058625013101846,16.058625013101846,16.058625013101846,16.058625013101846,129.0,0.016810592220491145,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/v0/teas/2172,1,0,76.35337501415052,76.35337501415052,76.35337501415052,76.35337501415052,129.0,0.016810592220491145,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/api/v0/teas/2216,1,0,15.048041997943074,15.048041997943074,15.048041997943074,15.048041997943074,136.0,0.016810592220491145,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v0/teas/2263,1,0,158.5132500040345,158.5132500040345,158.5132500040345,158.5132500040345,129.0,0.016810592220491145,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/v0/teas/2278,1,0,75.09179101907648,75.09179101907648,75.09179101907648,75.09179101907648,128.0,0.016810592220491145,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/api/v0/teas/2315,1,0,95.26020800694823,95.26020800694823,95.26020800694823,95.26020800694823,129.0,0.016810592220491145,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/api/v0/teas/2341,1,0,16.1708339874167,16.1708339874167,16.1708339874167,16.1708339874167,130.0,0.016810592220491145,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/v0/teas/2353,1,0,188.57729199226014,188.57729199226014,188.57729199226014,188.57729199226014,130.0,0.016810592220491145,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v0/teas/2402,1,0,64.59762499434873,64.59762499434873,64.59762499434873,64.59762499434873,130.0,0.016810592220491145,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/api/v0/teas/2406,1,0,31.64620799361728,31.64620799361728,31.64620799361728,31.64620799361728,136.0,0.016810592220491145,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/v0/teas/2421,1,0,63.970500021241605,63.970500021241605,63.970500021241605,63.970500021241605,128.0,0.016810592220491145,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/api/v0/teas/2447,1,0,12.762958998791873,12.762958998791873,12.762958998791873,12.762958998791873,130.0,0.016810592220491145,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v0/teas/2480,1,0,102.8423749958165,102.8423749958165,102.8423749958165,102.8423749958165,136.0,0.016810592220491145,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/v0/teas/2509,1,0,7.747541996650398,7.747541996650398,7.747541996650398,7.747541996650398,127.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/2568,1,0,9.710583981359378,9.710583981359378,9.710583981359378,9.710583981359378,129.0,0.016810592220491145,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v0/teas/2572,1,0,71.32279098732397,71.32279098732397,71.32279098732397,71.32279098732397,132.0,0.016810592220491145,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/v0/teas/2583,1,0,8.331916003953665,8.331916003953665,8.331916003953665,8.331916003953665,138.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/2596,1,0,76.14612500765361,76.14612500765361,76.14612500765361,76.14612500765361,128.0,0.016810592220491145,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/api/v0/teas/261,1,0,127.33054198906757,127.33054198906757,127.33054198906757,127.33054198906757,128.0,0.016810592220491145,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/v0/teas/2632,1,0,53.72866700054146,53.72866700054146,53.72866700054146,53.72866700054146,132.0,0.016810592220491145,0.0,54,54,54,54,54,54,54,54,54,54,54
